show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,duration_min,primary_country,genres_list,num_genres,year_added,month_added,day_added,text_all
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,United States,2021-09-25,2020,PG-13,90 min,Documentaries,90,United States,['Documentaries'],1,2021,9,25,Dick Johnson Is Dead Documentaries United States
s3,TV Show,Ganglands,Julien Leclercq,France,2021-09-24,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",1,France,"['Crime TV Shows', 'International TV Shows', 'TV Action & Adventure']",3,2021,9,24,"Ganglands Crime TV Shows, International TV Shows, TV Action & Adventure France"
s6,TV Show,Midnight Mass,Mike Flanagan,United States,2021-09-24,2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries",1,United States,"['TV Dramas', 'TV Horror', 'TV Mysteries']",3,2021,9,24,"Midnight Mass TV Dramas, TV Horror, TV Mysteries United States"
s14,Movie,Confessions of an Invisible Girl,Bruno Garotti,Brazil,2021-09-22,2021,TV-PG,91 min,"Children & Family Movies, Comedies",91,Brazil,"['Children & Family Movies', 'Comedies']",2,2021,9,22,"Confessions of an Invisible Girl Children & Family Movies, Comedies Brazil"
s8,Movie,Sankofa,Haile Gerima,United States,2021-09-24,1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies",125,United States,"['Dramas', 'Independent Movies', 'International Movies']",3,2021,9,24,"Sankofa Dramas, Independent Movies, International Movies United States"
s9,TV Show,The Great British Baking Show,Andy Devonshire,United Kingdom,2021-09-24,2021,TV-14,9 Seasons,"British TV Shows, Reality TV",9,United Kingdom,"['British TV Shows', 'Reality TV']",2,2021,9,24,"The Great British Baking Show British TV Shows, Reality TV United Kingdom"
s10,Movie,The Starling,Theodore Melfi,United States,2021-09-24,2021,PG-13,104 min,"Comedies, Dramas",104,United States,"['Comedies', 'Dramas']",2,2021,9,24,"The Starling Comedies, Dramas United States"
s939,Movie,Motu Patlu in the Game of Zones,Suhas Kadav,India,2021-05-01,2019,TV-Y7,87 min,"Children & Family Movies, Comedies, Music & Musicals",87,India,"['Children & Family Movies', 'Comedies', 'Music & Musicals']",3,2021,5,1,"Motu Patlu in the Game of Zones Children & Family Movies, Comedies, Music & Musicals India"
s13,Movie,Je Suis Karl,Christian Schwochow,Germany,2021-09-23,2021,TV-MA,127 min,"Dramas, International Movies",127,Germany,"['Dramas', 'International Movies']",2,2021,9,23,"Je Suis Karl Dramas, International Movies Germany"
s940,Movie,Motu Patlu in Wonderland,Suhas Kadav,India,2021-05-01,2013,TV-Y7,76 min,"Children & Family Movies, Music & Musicals",76,India,"['Children & Family Movies', 'Music & Musicals']",2,2021,5,1,"Motu Patlu in Wonderland Children & Family Movies, Music & Musicals India"
